RAINFALL AMOUNT (mm),WATERLEVEL (m),WATERLEVEL MSL (m),Date
0.09375,0.04111111111111111,-8.208888888888888,2020-03-20
0.09375,0.04111111111111111,-8.208888888888888,2020-03-21
0.09375,0.04111111111111111,-8.208888888888888,2020-03-22
0.09375,0.04111111111111111,-8.208888888888888,2020-03-23
0.09375,0.04111111111111111,-8.208888888888888,2020-03-24
0.09375,0.04111111111111111,-8.208888888888888,2020-03-25
0.09375,0.04111111111111111,-8.208888888888888,2020-03-26
0.09375,0.04111111111111111,-8.208888888888888,2020-03-27
0.09375,0.04111111111111111,-8.208888888888888,2020-03-28
0.09375,0.04111111111111111,-8.208888888888888,2020-03-29
0.09375,0.04111111111111111,-8.208888888888888,2020-03-30
0.09375,0.04111111111111111,-8.208888888888888,2020-03-31
0.0,0.010070422535211267,-8.239929577464789,2020-04-01
0.0,0.011634615384615384,-8.238365384615385,2020-04-02
0.0,0.14129032258064517,-8.108709677419355,2020-04-03
0.0,0.12740458015267175,-8.122595419847327,2020-04-04
0.4201388888888889,0.2563888888888889,-7.993611111111111,2020-04-05
0.059027777777777776,0.15284722222222225,-8.097152777777778,2020-04-06
0.08680555555555555,0.26083333333333336,-7.989166666666667,2020-04-07
0.07291666666666667,0.3461111111111111,-7.90388888888889,2020-04-08
0.024305555555555556,0.3722916666666667,-7.877708333333334,2020-04-09
0.003472222222222222,0.3056944444444445,-7.944305555555555,2020-04-10
0.0,0.004715447154471545,-8.245284552845527,2020-04-11
0.0,0.004715447154471545,-8.245284552845527,2020-04-12
0.0,0.004715447154471545,-8.245284552845527,2020-04-13
0.0,0.004715447154471545,-8.245284552845527,2020-04-14
0.0,0.004715447154471545,-8.245284552845527,2020-04-15
0.0,0.004715447154471545,-8.245284552845527,2020-04-16
0.0,0.004715447154471545,-8.245284552845527,2020-04-17
0.0,0.004715447154471545,-8.245284552845527,2020-04-18
0.0,0.004715447154471545,-8.245284552845527,2020-04-19
0.0,0.004715447154471545,-8.245284552845527,2020-04-20
0.0,0.004715447154471545,-8.245284552845527,2020-04-21
0.0,0.004715447154471545,-8.245284552845527,2020-04-22
0.0,0.004715447154471545,-8.245284552845527,2020-04-23
0.0,0.004715447154471545,-8.245284552845527,2020-04-24
0.0,0.004715447154471545,-8.245284552845527,2020-04-25
0.0,0.004715447154471545,-8.245284552845527,2020-04-26
0.0,0.004715447154471545,-8.245284552845527,2020-04-27
0.0,0.004715447154471545,-8.245284552845527,2020-04-28
0.0,0.004715447154471545,-8.245284552845527,2020-04-29
0.0,0.004715447154471545,-8.245284552845527,2020-04-30
0.0,0.06985185185185185,-8.180148148148147,2020-05-01
0.0,0.10006944444444445,-8.149930555555555,2020-05-02
0.0,0.13541666666666666,-8.114583333333334,2020-05-03
0.0,0.08693548387096775,-8.163064516129033,2020-05-04
0.0,0.30097222222222225,-7.949027777777778,2020-05-05
0.13194444444444445,0.209375,-8.040624999999999,2020-05-06
0.0,0.22381944444444443,-8.026180555555555,2020-05-07
0.05555555555555555,0.3522222222222222,-7.897777777777778,2020-05-08
0.0,0.3047222222222222,-7.945277777777777,2020-05-09
0.1284722222222222,0.37368055555555557,-7.876319444444444,2020-05-10
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-11
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-12
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-13
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-14
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-15
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-16
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-17
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-18
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-19
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-20
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-21
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-22
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-23
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-24
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-25
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-26
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-27
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-28
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-29
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-30
0.08333333333333333,-0.03619047619047619,-8.286190476190475,2020-05-31
0.0,0.14428571428571427,-8.105714285714285,2020-06-01
0.0,0.2079861111111111,-8.042013888888889,2020-06-02
0.3055555555555556,0.22895833333333332,-8.021041666666667,2020-06-03
0.0,0.16633802816901408,-8.083661971830987,2020-06-04
0.04861111111111111,0.29541666666666666,-7.954583333333334,2020-06-05
0.0,0.20111111111111113,-8.04888888888889,2020-06-06
0.003472222222222222,0.20819444444444446,-8.041805555555555,2020-06-07
0.10416666666666667,0.3479861111111111,-7.90201388888889,2020-06-08
0.0,0.28020833333333334,-7.9697916666666675,2020-06-09
0.8993055555555556,0.3807638888888889,-7.869236111111111,2020-06-10
